model_key,model,model_long,bucket,bucket_label,bucket_order,auc,n_hwc,n_agc,hwc_mean,agc_mean,npr_gap,source_file
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type04_140,131--140,3,0.857778,15,15,1.399981,1.669237,0.26925600000000016,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type05_150,141--150,4,0.817778,15,15,1.478266,1.675862,0.19759599999999988,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type06_160,151--160,5,0.8,15,15,1.393862,1.600182,0.20632000000000006,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type07_170,161--170,6,0.871111,15,15,1.348274,1.538456,0.19018200000000007,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type08_180,171--180,7,0.871111,15,15,1.35058,1.621576,0.270996,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type09_190,181--190,8,0.817778,15,15,1.360061,1.572575,0.2125140000000001,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
starcoder2-15b-instruct-v0.1,SC15B,StarCoder2-15B,type10_200,191--200,9,0.862222,15,15,1.325512,1.49833,0.17281799999999992,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-15b-instruct-v0.1_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type01_110,100--110,0,0.853333,15,15,1.444449,1.770402,0.32595299999999994,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type02_120,111--120,1,0.906667,15,15,1.477821,1.865822,0.38800100000000004,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type03_130,121--130,2,0.875556,15,15,1.489235,1.874879,0.3856439999999999,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type04_140,131--140,3,0.808889,15,15,1.478886,1.795158,0.3162720000000001,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type05_150,141--150,4,0.826667,15,15,1.447135,1.652501,0.20536599999999994,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type06_160,151--160,5,0.964444,15,15,1.427897,1.814953,0.38705600000000007,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type07_170,161--170,6,0.897778,15,15,1.448537,1.78598,0.33744299999999994,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type08_180,171--180,7,0.871111,15,15,1.46431,1.810639,0.3463290000000001,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type09_190,181--190,8,0.955556,15,15,1.365267,1.774979,0.4097120000000001,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
gpt-oss,GO120B,GPT-OSS-120B,type10_200,191--200,9,0.902222,15,15,1.458599,1.758225,0.29962599999999995,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_gpt-oss_50files_bucket_summary.csv
