model,model_long,model_key,n_total,n_hwc,n_agc,overall_auc,youden_threshold,tpr,fpr,youden_j,hwc_mean,agc_mean,npr_gap
CL7B,CodeLlama-7B,codellama-7b,300,150,150,0.8726666666666667,1.384936,0.7466666666666667,0.12,0.6266666666666667,1.263178946666667,1.5770819200000001,0.31390297333333317
SC7B,StarCoder2-7B,starcoder2-7b,300,150,150,0.9052444444444444,1.518324,0.8533333333333334,0.16,0.6933333333333334,1.3773316199999999,1.7202596933333332,0.3429280733333333
SC15B,StarCoder2-15B,starcoder2-15b-instruct-v0.1,300,150,150,0.8327111111111112,1.439702,0.78,0.2866666666666667,0.49333333333333335,1.3930275200000002,1.63655924,0.24353171999999979
GO120B,GPT-OSS-120B,gpt-oss,300,150,150,0.8874222222222223,1.560183,0.8466666666666667,0.18666666666666668,0.66,1.4502135866666668,1.7903536999999998,0.34014011333333305
