index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
76,1.188775,1.619568,MGC,1.116895,0.384039,1.327737,0.621978
77,1.276081,1.644466,MGC,0.689976,0.326861,0.880465,0.537512
78,1.740240,1.748013,MGC,0.298014,0.253769,0.518617,0.443592
79,1.315038,1.844772,MGC,0.551528,0.287689,0.725281,0.530720
80,1.167906,1.718174,MGC,0.822191,0.273262,0.960242,0.469511
81,1.482366,1.500499,MGC,0.385079,0.278632,0.570828,0.418086
82,1.195500,1.959227,MGC,0.700226,0.167145,0.837120,0.327475
83,1.190666,1.294719,MGC,0.635832,0.496283,0.757064,0.642547
84,0.986681,1.846703,MGC,1.952749,0.321023,1.926740,0.592834
85,1.209795,1.377077,MGC,0.737108,0.721130,0.891749,0.993052
86,1.249667,1.707366,MGC,0.556462,0.228095,0.695393,0.389441
87,1.262569,1.405427,MGC,0.763960,0.563786,0.964552,0.792359
88,1.165246,1.146195,HWC,0.731768,0.639684,0.852690,0.733203
89,1.317712,1.886926,MGC,0.531787,0.237814,0.700742,0.448737
90,1.267445,1.255977,HWC,0.525666,0.352778,0.666253,0.443080
91,1.138842,1.609645,MGC,0.938650,0.306676,1.068974,0.493640
92,1.431519,1.879438,MGC,0.356227,0.182709,0.509945,0.343390
93,1.386636,2.038209,MGC,0.563191,0.192846,0.780941,0.393061
94,1.286065,1.192081,HWC,0.619921,0.307328,0.797258,0.366360
95,1.097806,1.825072,MGC,1.159188,0.234967,1.272564,0.428833
96,1.185645,1.214141,MGC,0.881746,0.709962,1.045438,0.861994
97,1.170108,1.695709,MGC,1.442861,0.342320,1.688303,0.580475
98,1.133356,1.869147,MGC,1.356578,0.390997,1.537486,0.730832
99,1.339420,1.324514,HWC,0.465978,0.420919,0.624141,0.557513
100,1.500673,1.599206,MGC,0.308429,0.356628,0.462851,0.570322
101,1.145396,1.544441,MGC,0.864657,0.199380,0.990374,0.307931
102,1.233502,1.516476,MGC,0.763294,0.529551,0.941526,0.803052
103,1.253019,1.631600,MGC,0.389528,0.323118,0.488086,0.527200
104,1.060117,1.648580,MGC,0.950327,0.232837,1.007457,0.383851
105,1.282351,1.210645,HWC,0.559325,0.580098,0.717251,0.702292
106,1.200755,1.374090,MGC,0.546673,0.269854,0.656420,0.370804
107,1.464220,1.776736,MGC,0.383498,0.248455,0.561526,0.441439
108,1.455929,1.833513,MGC,0.443364,0.248543,0.645507,0.455707
109,1.485346,1.687259,MGC,0.532482,0.448156,0.790920,0.756155
110,1.136618,1.688721,MGC,1.184914,0.310746,1.346795,0.524763
