index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
0,8,1.403309,1.000000,HWC,0.870622,0.061891,1.221752,0.061891
1,15,1.858988,3.270426,MGC,0.391666,0.131549,0.728102,0.430222
2,19,1.435829,1.883887,MGC,0.757847,0.348433,1.088138,0.656408
3,23,1.137514,1.750208,MGC,1.331054,0.458684,1.514093,0.802793
4,29,1.488598,2.463496,MGC,0.757026,0.165204,1.126907,0.406979
5,32,1.373892,1.754708,MGC,1.003966,0.338347,1.379341,0.593701
6,33,1.338959,1.556432,MGC,0.809425,0.523210,1.083786,0.814340
7,35,1.272299,2.359551,MGC,1.125805,0.196236,1.432361,0.463029
8,37,1.212808,2.465801,MGC,1.134939,0.146679,1.376463,0.361682
9,39,1.345487,1.731695,MGC,0.833678,0.368666,1.121703,0.638418
10,41,1.357987,2.260236,MGC,0.463137,0.346399,0.628934,0.782943
11,42,1.343175,1.946337,MGC,0.807188,0.271031,1.084194,0.527518
12,43,1.540812,2.430183,MGC,0.458586,0.122845,0.706595,0.298535
13,46,1.407362,1.671293,MGC,0.543958,0.447748,0.765546,0.748318
