line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
6524,human,0,25,0,1.110856,1.004093,1.115403
6524,lm,0,52,0,1.445978,0.536016,0.775068
1720,human,0,35,0,1.288367,0.582612,0.750618
1720,lm,0,10,0,1.070453,2.630410,2.815731
5870,human,0,128,0,1.384431,0.462490,0.640286
5870,human,1,15,0,1.082049,2.154015,2.330750
5870,lm,0,128,0,1.547653,0.375977,0.581882
5870,lm,1,37,0,1.055922,1.601617,1.691183
7511,human,0,24,0,1.254704,0.726245,0.911223
7511,lm,0,8,0,1.170179,0.894388,1.046594
7256,human,0,69,0,1.193961,0.687034,0.820291
7256,lm,0,10,0,1.232139,1.606547,1.979490
