line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1589,human,0,41,0,1.127908,1.641530,1.851496
1589,lm,0,95,0,1.951028,0.350176,0.683203
4220,human,0,125,0,1.738463,0.477248,0.829678
4220,lm,0,128,0,2.123239,0.314689,0.668160
4220,lm,1,41,0,1.818193,0.664999,1.209097
6556,human,0,128,0,1.967431,0.324178,0.637797
6556,human,1,109,0,1.421983,0.599906,0.853057
6556,lm,0,128,0,1.795836,0.541953,0.973259
6556,lm,1,73,0,1.509436,0.787624,1.188869
397,human,0,84,0,1.554660,0.795004,1.235961
397,lm,0,128,0,1.843852,0.363092,0.669488
397,lm,1,56,0,1.682859,0.733337,1.234103
4111,human,0,60,0,1.355723,0.842372,1.142023
4111,lm,0,128,0,2.674336,0.165504,0.442612
4111,lm,1,29,0,1.324183,1.466511,1.941930
4458,human,0,128,0,1.322576,0.917382,1.213308
4458,human,1,128,0,1.251144,1.140499,1.426929
4458,human,2,128,0,1.358761,0.674485,0.916464
4458,human,3,128,0,1.351196,0.853045,1.152631
4458,human,4,42,0,1.174610,1.925146,2.261297
4458,lm,0,128,0,1.648803,0.440046,0.725549
4458,lm,1,24,0,1.305196,1.128430,1.472822
6132,human,0,124,0,1.565251,0.586066,0.917340
6132,lm,0,128,0,2.142971,0.323241,0.692696
6132,lm,1,128,0,1.625784,0.742735,1.207526
6132,lm,2,9,0,1.152704,2.543565,2.931977
6173,human,0,73,0,1.464235,0.853028,1.249033
6173,lm,0,83,0,2.227814,0.293117,0.653010
6641,human,0,128,0,1.413398,0.690577,0.976060
6641,human,1,28,0,1.158923,1.411728,1.636084
6641,lm,0,128,0,1.516782,0.717997,1.089046
6641,lm,1,81,0,1.448376,0.840685,1.217628
4778,human,0,128,0,1.738928,0.472014,0.820798
4778,human,1,128,0,1.388022,1.015744,1.409875
4778,human,2,16,0,1.186481,1.821946,2.161705
4778,lm,0,128,0,1.623364,0.543129,0.881696
4778,lm,1,128,0,1.797294,0.569519,1.023593
4778,lm,2,128,0,2.425380,0.289058,0.701075
4778,lm,3,100,0,1.523177,0.572665,0.872271
5908,human,0,24,0,1.261686,1.313576,1.657320
5908,lm,0,112,0,2.036121,0.309846,0.630884
2546,human,0,29,0,1.431859,1.371467,1.963749
2546,lm,0,90,0,1.845214,0.419539,0.774139
5011,human,0,35,0,1.650517,0.687848,1.135305
5011,lm,0,21,0,1.237704,1.588329,1.965881
1134,human,0,128,0,1.386044,1.040009,1.441499
1134,human,1,80,0,1.342361,1.214433,1.630208
1134,lm,0,77,0,1.704564,0.675550,1.151517
4173,human,0,50,0,1.231225,1.381173,1.700534
4173,lm,0,128,0,2.062741,0.385056,0.794271
4173,lm,1,55,0,1.335989,0.876500,1.170995
5190,human,0,34,0,1.571779,0.856352,1.345996
5190,lm,0,60,0,1.742264,0.674180,1.174599
1383,human,0,22,0,1.145274,2.176012,2.492131
1383,lm,0,51,0,1.508035,1.271307,1.917176
3710,human,0,26,0,1.374481,1.070051,1.470765
3710,lm,0,49,0,1.809791,0.456597,0.826345
3411,human,0,37,0,1.516009,0.906612,1.374432
3411,lm,0,103,0,2.268277,0.390352,0.885427
2915,human,0,31,0,1.123379,2.427852,2.727398
2915,lm,0,128,0,1.860204,0.351413,0.653699
2915,lm,1,82,0,1.825946,0.422272,0.771045
5535,human,0,128,0,1.446285,0.777973,1.125171
5535,human,1,71,0,1.679579,0.624045,1.048134
5535,lm,0,102,0,1.984626,0.356076,0.706678
6799,human,0,64,0,2.098078,0.486561,1.020844
6799,lm,0,128,0,2.599703,0.327376,0.851079
6799,lm,1,62,0,1.630883,1.126306,1.836873
381,human,0,83,0,1.768400,0.506274,0.895295
381,lm,0,128,0,2.055930,0.476904,0.980481
381,lm,1,128,0,1.352965,0.678253,0.917653
381,lm,2,116,0,1.699393,0.740435,1.258290
6924,human,0,128,0,1.396623,0.787768,1.100216
6924,human,1,68,0,1.215564,1.198135,1.456410
6924,lm,0,128,0,1.703490,0.498179,0.848644
6924,lm,1,31,0,1.171581,2.516241,2.947981
1420,human,0,128,0,1.177322,1.052269,1.238859
1420,human,1,128,0,1.187348,1.451528,1.723468
1420,human,2,128,0,1.115605,1.617481,1.804470
1420,human,3,128,0,1.142072,1.574633,1.798344
1420,human,4,128,0,1.140288,1.774174,2.023069
1420,human,5,97,0,1.080414,1.781403,1.924652
1420,lm,0,128,0,1.376671,1.054872,1.452211
1420,lm,1,2,0,nan,nan,4.954303
4724,human,0,128,0,1.677252,0.642797,1.078133
4724,human,1,2,0,0.975026,5.998937,5.849118
4724,lm,0,128,0,1.757185,0.503658,0.885020
4724,lm,1,46,0,1.465086,0.963955,1.412277
5662,human,0,13,0,1.262388,1.442049,1.820426
5662,lm,0,128,0,2.006243,0.455729,0.914304
5662,lm,1,22,0,1.159450,1.756095,2.036104
4403,human,0,128,0,1.580766,0.644198,1.018326
4403,human,1,128,0,1.663009,0.341929,0.568631
4403,human,2,35,0,1.147644,1.595305,1.830843
4403,lm,0,128,0,1.514151,0.833445,1.261962
4403,lm,1,41,0,1.268506,1.357668,1.722210
4652,human,0,91,0,1.339170,1.207851,1.617518
4652,lm,0,105,0,1.556037,0.724640,1.127566
4562,human,0,83,0,1.667904,0.715093,1.192706
4562,lm,0,128,0,1.776439,0.496117,0.881321
4562,lm,1,78,0,1.942424,0.584079,1.134530
2450,human,0,52,0,1.878104,0.734661,1.379769
2450,lm,0,128,0,1.492171,0.815329,1.216610
2450,lm,1,75,0,1.562810,0.921391,1.439960
6682,human,0,128,0,1.292188,0.754466,0.974912
6682,human,1,122,0,1.248182,0.771150,0.962535
6682,lm,0,34,0,1.935610,0.659820,1.277154
3081,human,0,81,0,1.271940,1.140745,1.450959
3081,lm,0,128,0,1.671362,0.453761,0.758399
3081,lm,1,59,0,1.452285,0.850536,1.235221
6208,human,0,64,0,1.372439,1.058062,1.452126
6208,lm,0,92,0,1.838711,0.427980,0.786931
1257,human,0,25,0,1.180292,1.150806,1.358287
1257,lm,0,39,0,1.368989,0.744952,1.019831
3120,human,0,49,0,1.247362,1.174126,1.464560
3120,lm,0,128,0,1.634646,0.389018,0.635906
3120,lm,1,63,0,1.479111,0.748571,1.107219
1930,human,0,128,0,1.596922,0.722295,1.153449
1930,human,1,90,0,1.344493,1.254718,1.686960
1930,lm,0,96,0,1.843822,0.464974,0.857330
2946,human,0,36,0,1.147601,1.332185,1.528817
2946,lm,0,95,0,1.684229,0.632362,1.065043
6959,human,0,128,0,1.422663,0.834023,1.186534
6959,human,1,49,0,1.391450,1.300934,1.810185
6959,lm,0,128,0,1.834504,0.464071,0.851340
6959,lm,1,68,0,1.634196,0.898646,1.468564
4162,human,0,33,0,1.636476,0.581218,0.951149
4162,lm,0,27,0,1.818233,0.454692,0.826736
5319,human,0,122,0,1.279882,0.886225,1.134264
5319,lm,0,128,0,1.787320,0.464479,0.830173
5319,lm,1,128,0,1.733412,0.588301,1.019767
5319,lm,2,95,0,1.934179,0.536367,1.037430
5176,human,0,66,0,1.321695,1.385059,1.830626
5176,lm,0,108,0,1.706606,0.533346,0.910212
1422,human,0,128,0,1.339435,1.028649,1.377808
1422,human,1,23,0,1.011461,4.130293,4.177630
1422,lm,0,35,0,1.491281,1.180168,1.759962
2846,human,0,21,0,1.187398,1.199293,1.424038
2846,lm,0,40,0,2.091904,0.246359,0.515359
2807,human,0,128,0,1.327472,1.042143,1.383416
2807,human,1,92,0,1.377696,0.928939,1.279796
2807,lm,0,128,0,1.658323,0.600193,0.995313
2807,lm,1,128,0,1.700978,0.607879,1.033988
2807,lm,2,128,0,1.797865,0.491081,0.882898
2807,lm,3,38,0,1.469942,0.862424,1.267713
6606,human,0,128,0,1.343827,0.932621,1.253282
6606,human,1,128,0,1.301078,1.197340,1.557833
6606,human,2,95,0,1.442428,1.035296,1.493340
6606,lm,0,128,0,2.068942,0.343181,0.710021
6606,lm,1,54,0,1.575935,0.577674,0.910378
6123,human,0,128,0,1.270204,0.863768,1.097162
6123,lm,0,61,0,1.341841,0.863792,1.159072
6441,human,0,44,0,1.479595,1.079737,1.597573
6441,lm,0,128,0,1.725923,0.585372,1.010307
6441,lm,1,103,0,1.561120,0.752297,1.174426
4391,human,0,31,0,1.210848,1.862285,2.254944
4391,lm,0,80,0,1.723415,0.586097,1.010087
888,human,0,65,0,1.487535,0.699026,1.039827
888,lm,0,74,0,1.791331,0.585186,1.048261
