line_num,human_npr,lm_npr,winner,human_logrank,lm_logrank,human_perturbed_logrank,lm_perturbed_logrank
1,1.407544,1.802908,MGC,0.921755,0.331990,1.297411,0.598547
10,1.526117,1.702601,MGC,0.608115,0.635969,0.928055,1.082802
100,1.302881,1.274074,HWC,1.035717,1.241508,1.349416,1.581774
1000,1.596097,1.748140,MGC,0.716943,0.602337,1.144310,1.052970
1001,1.513583,1.714139,MGC,0.605060,0.512747,0.915809,0.878919
1002,1.468443,1.410571,HWC,0.418844,0.441847,0.615048,0.623256
1003,1.721319,1.800158,MGC,0.500747,0.477680,0.861946,0.859900
1004,1.711674,1.669321,HWC,0.469562,0.469282,0.803737,0.783383
1006,1.644239,2.018442,MGC,0.486694,0.396369,0.800242,0.800048
1007,1.617581,1.534303,HWC,0.662183,0.901022,1.071135,1.382440
1008,1.283080,1.315870,MGC,0.666919,0.762410,0.855710,1.003232
101,1.468376,2.265745,MGC,0.589684,0.197344,0.865878,0.447132
1011,1.215236,1.244407,MGC,0.765726,0.822685,0.930538,1.023755
1012,1.203841,1.168528,HWC,1.017757,1.072629,1.225218,1.253397
1013,1.637589,2.122175,MGC,0.369486,0.280103,0.605066,0.594427
1014,1.470957,1.645568,MGC,0.583308,0.405287,0.858021,0.666928
1015,1.292651,1.492505,MGC,0.797615,0.581981,1.031038,0.868609
1016,1.592140,1.452334,HWC,0.523771,0.730613,0.833917,1.061094
1017,1.270722,1.291243,MGC,0.987020,1.057427,1.254227,1.365395
102,1.357678,1.547894,MGC,0.767072,0.608529,1.041437,0.941937
1021,1.457398,3.195359,MGC,0.525429,0.132520,0.765759,0.423448
1023,1.347279,1.463781,MGC,0.772435,0.781686,1.040686,1.144217
1026,1.447850,1.599126,MGC,1.036618,0.935965,1.500868,1.496726
1027,1.529925,1.929659,MGC,0.590814,0.515736,0.903901,0.995194
1028,1.681520,1.698165,MGC,0.546171,0.503531,0.918398,0.855079
1030,1.410737,2.594955,MGC,0.518828,0.121996,0.731929,0.316573
1033,1.649010,2.610544,MGC,0.431230,0.280233,0.711102,0.731560
1038,1.348253,2.065862,MGC,0.567470,0.278358,0.765093,0.575049
1039,1.595558,1.669177,MGC,0.427523,0.443395,0.682138,0.740104
104,1.792472,1.654701,HWC,0.431177,0.539237,0.772872,0.892276
1040,1.522580,1.351201,HWC,0.295357,0.599742,0.449704,0.810372
1041,1.361293,2.365946,MGC,0.542113,0.217860,0.737974,0.515446
1046,1.445760,1.417609,HWC,0.702268,0.731165,1.015311,1.036506
1047,1.226986,1.178553,HWC,1.112894,1.209627,1.365506,1.425609
105,1.314628,1.406547,MGC,0.983684,1.153972,1.293178,1.623116
1051,1.634778,1.719449,MGC,0.620018,0.544817,1.013592,0.936785
1052,1.589868,1.870725,MGC,0.589767,0.532819,0.937652,0.996759
1054,1.633919,1.536484,HWC,0.433428,0.582581,0.708186,0.895127
1055,1.499037,1.758096,MGC,0.753287,0.546594,1.129204,0.960966
1056,1.424865,1.398884,HWC,0.628552,0.751132,0.895602,1.050747
1057,1.555507,3.857043,MGC,0.542773,0.087626,0.844288,0.337977
1059,2.013923,2.286571,MGC,0.343135,0.309312,0.691048,0.707265
1063,1.248803,1.888810,MGC,0.778502,0.362563,0.972196,0.684813
1064,1.836363,1.756166,HWC,0.331287,0.473921,0.608364,0.832283
1066,1.451257,1.479153,MGC,0.793962,0.830242,1.152243,1.228054
1068,1.273126,1.556440,MGC,0.893154,0.984240,1.137098,1.531911
1069,1.563814,1.800146,MGC,0.578118,0.438244,0.904069,0.788904
107,1.197484,1.231332,MGC,0.854355,0.855897,1.023076,1.053892
1070,1.417083,1.682250,MGC,0.733686,0.440543,1.039694,0.741103
1071,1.458756,1.956317,MGC,0.518174,0.316256,0.755890,0.618697
1073,1.448529,1.718001,MGC,0.634197,0.524908,0.918654,0.901792
1076,1.299908,1.384910,MGC,1.034473,1.011909,1.344720,1.401403
1077,1.584879,1.621381,MGC,0.552641,0.571181,0.875868,0.926103
1079,1.387787,1.495168,MGC,0.596776,0.574466,0.828199,0.858923
1081,1.697549,1.736968,MGC,0.389699,0.441005,0.661533,0.766012
1082,1.364766,1.405188,MGC,0.859196,0.817366,1.172601,1.148553
1083,1.584536,3.580502,MGC,0.488045,0.102278,0.773324,0.366207
1084,1.366005,2.632238,MGC,0.590284,0.159457,0.806331,0.419728
1085,1.341966,1.615666,MGC,0.615470,0.507510,0.825939,0.819966
1086,1.291646,1.230000,HWC,0.638746,1.079159,0.825034,1.327365
109,1.406515,1.578045,MGC,0.761071,0.590250,1.070458,0.931441
1090,1.509337,1.405546,HWC,0.626385,0.934509,0.945426,1.313495
1092,1.987514,2.106794,MGC,0.350502,0.371765,0.696628,0.783233
1093,1.587151,1.644107,MGC,0.574444,0.688655,0.911729,1.132222
1095,1.566699,1.748964,MGC,0.513001,0.418785,0.803719,0.732440
1096,1.409545,1.798660,MGC,0.522225,0.352741,0.736099,0.634460
1097,1.372729,1.395736,MGC,0.720873,0.819477,0.989564,1.143774
11,1.356288,1.351166,HWC,0.914256,0.967143,1.239994,1.306770
110,1.518491,2.138625,MGC,0.534349,0.164883,0.811404,0.352623
1100,1.391040,1.401043,MGC,0.650926,0.740476,0.905464,1.037438
1101,1.715441,1.603703,HWC,0.587705,0.616536,1.008174,0.988741
1104,1.563151,3.051411,MGC,0.384901,0.093401,0.601658,0.285005
1105,1.386699,2.660025,MGC,0.739906,0.153585,1.026027,0.408541
1109,1.535102,1.581375,MGC,0.524446,0.683189,0.805078,1.080378
111,1.317349,1.581996,MGC,0.981164,0.444583,1.292536,0.703328
1110,1.459791,1.439723,HWC,0.624543,0.856226,0.911702,1.232727
1111,1.428938,2.087882,MGC,0.636512,0.284385,0.909536,0.593762
1112,1.435585,1.562016,MGC,0.589974,0.635850,0.846957,0.993208
1113,1.288952,1.705447,MGC,0.912159,0.537425,1.175729,0.916550
1114,1.391447,1.226582,HWC,0.547952,1.331877,0.762445,1.633657
1117,1.496251,1.858004,MGC,0.589462,0.224535,0.881984,0.417186
1120,1.404334,1.657992,MGC,0.599095,0.433090,0.841330,0.718060
1123,1.518078,1.646193,MGC,0.546709,0.552467,0.829947,0.909467
1124,1.275345,1.534533,MGC,0.995026,0.758064,1.269001,1.163274
1125,1.652515,1.844249,MGC,0.610095,0.565693,1.008191,1.043278
1126,1.236564,1.214125,HWC,0.901800,1.047493,1.115133,1.271788
1129,1.503314,1.437822,HWC,0.858383,0.931523,1.290419,1.339365
113,1.429271,1.731325,MGC,0.700785,0.495791,1.001612,0.858375
1130,1.423188,1.411852,HWC,0.698001,0.741980,0.993386,1.047565
1132,1.378096,1.728293,MGC,0.820778,0.667148,1.131111,1.153028
1133,1.398846,1.335775,HWC,0.881383,1.162584,1.232920,1.552950
1138,1.365469,2.050917,MGC,0.708824,0.116030,0.967878,0.237967
1139,1.305610,1.628096,MGC,0.865971,0.501719,1.130620,0.816847
1141,1.358280,1.695683,MGC,0.592483,0.405242,0.804757,0.687162
1142,1.360230,1.500346,MGC,0.643871,0.682210,0.875813,1.023552
1143,1.626155,1.893694,MGC,0.410853,0.374429,0.668111,0.709055
1144,1.346204,1.771098,MGC,0.940350,0.563044,1.265902,0.997206
1145,1.489508,2.765868,MGC,0.628888,0.209033,0.936734,0.578157
1146,1.549784,1.716482,MGC,0.551471,0.448015,0.854661,0.769010
1147,1.330426,1.485072,MGC,0.928266,0.732746,1.234989,1.088181
