line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1,human,0,44,0,1.502623,1.440740,2.164889
1,lm,0,124,0,1.825180,0.282823,0.516204
10,human,0,28,0,1.237286,0.848674,1.050052
10,lm,0,10,0,1.151282,2.050018,2.360150
100,human,0,37,0,1.227080,1.157509,1.420356
100,lm,0,7,0,1.074955,2.705886,2.908706
1000,human,0,49,0,1.394653,1.043026,1.454658
1000,lm,0,12,0,1.259387,1.143679,1.440333
1001,human,0,61,0,1.299150,0.984571,1.279105
1001,lm,0,107,0,1.618146,0.665855,1.077451
1002,human,0,90,0,1.501963,0.366673,0.550729
1002,lm,0,25,0,1.165444,0.553301,0.644841
1003,human,0,13,0,1.109664,0.979633,1.087064
1003,lm,0,14,0,1.137350,1.364480,1.551891
1004,human,0,67,0,1.936006,0.461379,0.893233
1004,lm,0,32,0,1.673744,0.568942,0.952264
1006,human,0,64,0,1.572678,0.541831,0.852125
1006,lm,0,50,0,1.649282,0.560377,0.924220
1007,human,0,66,0,1.540592,0.660976,1.018295
1007,lm,0,7,0,1.073461,2.330197,2.501376
1008,human,0,13,0,1.214276,0.676213,0.821109
1008,lm,0,4,0,1.242777,0.999388,1.242016
101,human,0,88,0,1.339953,0.935728,1.253832
101,lm,0,128,0,1.900274,0.335256,0.637078
101,lm,1,123,0,1.566834,0.463093,0.725589
1011,human,0,33,0,1.255017,0.635819,0.797964
1011,lm,0,18,0,1.291709,0.685988,0.886097
1012,human,0,31,0,1.242900,0.938544,1.166517
1012,lm,0,11,0,1.378216,0.511556,0.705035
1013,human,0,128,0,1.529273,0.413468,0.632305
1013,human,1,128,0,1.296184,0.809103,1.048746
1013,human,2,26,0,1.377563,0.929027,1.279793
1013,lm,0,128,0,2.292475,0.259157,0.594111
1013,lm,1,23,0,1.251114,0.819404,1.025168
1014,human,0,46,0,1.378998,0.771467,1.063851
1014,lm,0,35,0,1.540662,0.501417,0.772514
1015,human,0,128,0,1.278281,1.174049,1.500764
1015,human,1,128,0,1.232407,1.780236,2.193976
1015,human,2,128,0,1.151332,1.217604,1.401866
1015,human,3,70,0,1.119803,2.159628,2.418357
1015,lm,0,128,0,1.618780,0.614840,0.995291
1015,lm,1,10,0,1.032070,2.908006,3.001266
1016,human,0,87,0,1.543948,0.567833,0.876705
1016,lm,0,10,0,1.243205,1.053932,1.310253
1017,human,0,20,0,1.102647,1.544995,1.703585
1017,lm,0,16,0,1.164289,1.883915,2.193421
102,human,0,128,0,1.363262,0.886056,1.207926
102,human,1,95,0,1.266713,1.087905,1.378063
102,lm,0,81,0,1.680767,0.605058,1.016963
1023,human,0,128,0,1.374880,0.850460,1.169281
1023,human,1,128,0,1.204007,1.303972,1.569991
1023,human,2,50,0,1.417656,1.074528,1.523310
1023,lm,0,97,0,1.918378,0.457416,0.877497
1026,human,0,38,0,1.302726,1.186052,1.545101
1026,lm,0,19,0,1.186677,1.473042,1.748025
1027,human,0,111,0,1.485502,0.559413,0.831009
1027,lm,0,19,0,1.366570,0.549223,0.750551
1028,human,0,58,0,1.739430,0.730839,1.271244
1028,lm,0,15,0,1.181596,1.007051,1.189928
1030,human,0,128,0,1.423908,0.567721,0.808383
1030,human,1,128,0,1.238259,0.810633,1.003773
1030,human,2,128,0,1.348309,0.720840,0.971915
1030,human,3,44,0,1.258020,1.675286,2.107543
1030,lm,0,128,0,3.452894,0.088722,0.306347
1030,lm,1,128,0,2.657577,0.116472,0.309533
1030,lm,2,6,0,1.129158,4.563724,5.153165
1033,human,0,43,0,1.417211,0.539997,0.765290
1033,lm,0,21,0,1.425380,0.728408,1.038258
1038,human,0,128,0,1.306983,0.748746,0.978599
1038,human,1,128,0,1.246365,0.795098,0.990982
1038,human,2,34,0,1.171990,1.245905,1.460189
1038,lm,0,128,0,1.865467,0.315190,0.587977
1038,lm,1,4,0,0.981134,2.799828,2.747007
1039,human,0,35,0,1.351349,0.669915,0.905288
1039,lm,0,31,0,1.423275,0.807862,1.149810
104,human,0,84,0,1.622281,0.486028,0.788475
104,lm,0,43,0,1.221667,1.185512,1.448301
1040,human,0,128,0,1.550008,0.258054,0.399985
1040,human,1,1,0,1.000000,4.004251,4.004251
1040,lm,0,20,0,1.392788,0.536605,0.747377
1041,human,0,128,0,1.376043,0.532335,0.732517
1041,human,1,68,0,1.190339,1.033763,1.230528
1041,lm,0,128,0,2.840875,0.140159,0.398175
1041,lm,1,19,0,1.294162,0.971551,1.257345
1046,human,0,67,0,1.334731,1.001589,1.336852
1046,lm,0,11,0,1.059344,1.915316,2.028979
1047,human,0,77,0,1.224486,1.247667,1.527750
1047,lm,0,27,0,1.165115,1.658704,1.932581
105,human,0,53,0,1.230250,1.010370,1.243009
105,lm,0,11,0,1.042998,2.339339,2.439926
1051,human,0,87,0,1.457409,0.808394,1.178160
1051,lm,0,29,0,1.297854,1.016176,1.318849
1052,human,0,65,0,1.290848,0.955342,1.233201
1052,lm,0,44,0,1.507408,1.060109,1.598017
1054,human,0,128,0,1.424348,0.814351,1.159919
1054,human,1,128,0,1.442050,0.620281,0.894477
1054,human,2,47,0,1.331555,0.958363,1.276113
1054,lm,0,26,0,1.299189,0.914159,1.187666
1055,human,0,55,0,1.331547,1.201371,1.599683
1055,lm,0,79,0,1.565032,0.744231,1.164745
1056,human,0,103,0,1.384512,0.688870,0.953749
1056,lm,0,31,0,1.449626,0.816166,1.183135
1059,human,0,42,0,1.343747,0.874771,1.175472
1059,lm,0,11,0,1.178324,1.543853,1.819158
1063,human,0,126,0,1.241684,0.776648,0.964352
1063,lm,0,118,0,1.868340,0.388740,0.726299
1064,human,0,51,0,1.535798,0.458448,0.704083
1064,lm,0,20,0,1.432523,0.730212,1.046045
1066,human,0,125,0,1.447636,0.966504,1.399146
1066,lm,0,47,0,1.310588,1.354812,1.775600
1068,human,0,118,0,1.249620,0.944534,1.180309
1068,lm,0,17,0,1.240858,1.358561,1.685781
1069,human,0,36,0,1.380230,0.705677,0.973996
1069,lm,0,33,0,1.562796,0.480484,0.750899
107,human,0,116,0,1.110677,1.518663,1.686744
107,lm,0,128,0,0.991239,2.926831,2.901188
107,lm,1,128,0,0.906443,3.769419,3.416763
107,lm,2,81,0,0.918850,3.579470,3.288998
1070,human,0,67,0,1.210705,1.060203,1.283593
1070,lm,0,87,0,1.354605,0.622467,0.843197
1071,human,0,128,0,1.306858,1.005709,1.314319
1071,human,1,128,0,1.398802,0.626257,0.876009
1071,human,2,19,0,1.203480,1.510151,1.817437
1071,lm,0,128,0,1.781161,0.422832,0.753131
1071,lm,1,128,0,1.617046,0.753634,1.218661
1071,lm,2,108,0,1.392048,0.864364,1.203236
1073,human,0,32,0,1.271128,0.746907,0.949414
1073,lm,0,22,0,1.366219,0.764409,1.044351
1076,human,0,96,0,1.278813,1.051798,1.345053
1076,lm,0,32,0,1.545919,0.853245,1.319048
1077,human,0,128,0,1.639402,0.648558,1.063247
1077,human,1,3,0,1.469996,1.276214,1.876029
1077,lm,0,57,0,1.687119,0.591837,0.998500
1079,human,0,46,0,1.296557,0.527294,0.683667
1079,lm,0,62,0,1.987961,0.252207,0.501378
1081,human,0,128,0,1.610769,0.401439,0.646626
1081,human,1,1,0,1.000000,4.141603,4.141603
1081,lm,0,14,0,1.359450,0.666943,0.906675
1082,human,0,13,0,1.066859,1.911899,2.039727
1082,lm,0,12,0,1.126339,1.671456,1.882626
1083,human,0,128,0,1.261691,1.202796,1.517558
1083,human,1,128,0,1.241845,1.294160,1.607146
1083,human,2,128,0,1.202237,1.204400,1.447974
1083,human,3,128,0,1.294745,1.341824,1.737319
1083,human,4,128,0,1.179504,1.625336,1.917091
1083,human,5,128,0,1.267358,1.624904,2.059335
1083,human,6,110,0,1.273329,1.205397,1.534867
1083,lm,0,128,0,1.764870,0.605541,1.068701
1083,lm,1,128,0,1.857223,0.408300,0.758303
1083,lm,2,128,0,1.975809,0.368954,0.728983
1083,lm,3,128,0,1.798078,0.432106,0.776961
1083,lm,4,128,0,1.662259,0.504934,0.839332
1083,lm,5,128,0,1.968680,0.365549,0.719649
1083,lm,6,111,0,2.029075,0.450965,0.915041
1085,human,0,128,0,1.206620,0.997474,1.203572
1085,human,1,128,0,1.178663,1.242850,1.464901
1085,human,2,58,0,1.178434,1.298296,1.529956
1085,lm,0,42,0,1.384656,0.813882,1.126947
