line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
10,human,0,87,0,1.684412,0.529258,0.891488
10,lm,0,78,0,2.033820,0.331491,0.674194
100,human,0,49,0,1.373300,0.896685,1.231418
100,lm,0,13,0,1.129343,1.402066,1.583414
1000,human,0,128,0,1.162478,1.316504,1.530408
1000,human,1,128,0,1.331857,1.082676,1.441969
1000,human,2,128,0,1.174978,1.101223,1.293913
1000,human,3,128,0,1.062412,2.063360,2.192138
1000,human,4,128,0,1.071667,1.387727,1.487180
1000,human,5,128,0,1.061424,1.675950,1.778893
1000,lm,0,42,0,1.271247,0.909247,1.155878
1001,human,0,43,0,1.124609,1.724144,1.938988
1001,lm,0,72,0,1.295649,0.989654,1.282244
1002,human,0,40,0,1.252014,1.166510,1.460487
1002,lm,0,83,0,1.744867,0.494847,0.863441
1003,human,0,128,0,1.505579,0.515759,0.776516
1003,human,1,128,0,1.665484,0.470414,0.783467
1003,human,2,128,0,1.586704,0.703130,1.115660
1003,human,3,128,0,1.480705,0.568833,0.842274
1003,human,4,27,0,1.219769,1.482883,1.808775
1003,lm,0,36,0,1.573663,0.317471,0.499592
1004,human,0,105,0,1.344976,0.840770,1.130816
1004,lm,0,50,0,1.471102,0.821807,1.208962
1005,human,0,39,0,1.218285,1.172720,1.428708
1005,lm,0,39,0,1.514057,0.589315,0.892256
1006,human,0,83,0,1.458157,0.461956,0.673605
1006,lm,0,30,0,1.160651,1.209730,1.404074
1007,human,0,128,0,1.328993,0.713933,0.948812
1007,human,1,54,0,1.241090,0.830220,1.030378
1007,lm,0,43,0,1.307062,0.752238,0.983221
1008,human,0,88,0,1.356180,0.810480,1.099156
1008,lm,0,93,0,1.839181,0.348105,0.640227
1009,human,0,55,0,1.379399,0.559863,0.772274
1009,lm,0,40,0,1.311264,0.648670,0.850578
101,human,0,128,0,1.284735,0.618470,0.794570
101,human,1,12,0,1.241993,1.100442,1.366741
101,lm,0,68,0,1.663997,0.438707,0.730008
1010,human,0,128,0,1.216261,1.063626,1.293646
1010,human,1,128,0,1.158778,1.201113,1.391823
1010,human,2,128,0,1.230104,0.774243,0.952399
1010,human,3,128,0,1.264789,1.444638,1.827162
1010,human,4,70,0,1.635913,1.001352,1.638124
1010,lm,0,128,0,1.422121,0.494044,0.702591
1010,lm,1,9,0,1.020447,3.271184,3.338071
1011,human,0,43,0,1.374976,1.137784,1.564426
1011,lm,0,53,0,1.487764,0.851796,1.267272
1012,human,0,85,0,1.535071,0.664536,1.020110
1012,lm,0,5,0,0.998589,2.987904,2.983689
1013,human,0,77,0,1.590890,0.593544,0.944263
1013,lm,0,43,0,1.373469,0.533127,0.732233
1015,human,0,124,0,1.406733,0.691831,0.973222
1015,lm,0,34,0,1.307644,0.790871,1.034177
1016,human,0,71,0,1.246121,1.124294,1.401007
1016,lm,0,37,0,1.366498,0.926110,1.265528
1017,human,0,88,0,1.773880,0.371826,0.659574
1017,lm,0,10,0,1.392106,1.760571,2.450902
1018,human,0,87,0,1.352115,0.751073,1.015536
1018,lm,0,43,0,2.192228,0.313837,0.688001
1019,human,0,93,0,1.396117,0.687685,0.960088
