line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1589,human,0,41,0,1.122745,1.641530,1.843020
1589,lm,0,95,0,1.930853,0.350176,0.676139
4220,human,0,125,0,1.687959,0.477248,0.805575
4220,lm,0,128,0,2.148251,0.314689,0.676031
4220,lm,1,41,0,1.808009,0.664999,1.202324
6556,human,0,128,0,1.969589,0.324178,0.638497
6556,human,1,109,0,1.423272,0.599906,0.853830
6556,lm,0,128,0,1.781875,0.541953,0.965692
6556,lm,1,73,0,1.495006,0.787624,1.177503
397,human,0,84,0,1.547395,0.795004,1.230185
397,lm,0,128,0,1.830937,0.363092,0.664798
397,lm,1,56,0,1.689186,0.733337,1.238743
4111,human,0,60,0,1.362722,0.842372,1.147918
4111,lm,0,128,0,2.704351,0.165504,0.447580
4111,lm,1,29,0,1.315809,1.466511,1.929648
4458,human,0,128,0,1.310333,0.917382,1.202076
4458,human,1,128,0,1.254373,1.140499,1.430611
4458,human,2,128,0,1.363709,0.674485,0.919802
4458,human,3,128,0,1.344777,0.853045,1.147155
4458,human,4,42,0,1.161175,1.925146,2.235431
4458,lm,0,128,0,1.640423,0.440046,0.721861
4458,lm,1,24,0,1.285508,1.128430,1.450606
6132,human,0,124,0,1.544653,0.586066,0.905269
6132,lm,0,128,0,2.155176,0.323241,0.696641
6132,lm,1,128,0,1.636359,0.742735,1.215380
6132,lm,2,9,0,1.142895,2.543565,2.907027
6173,human,0,73,0,1.474530,0.853028,1.257816
6173,lm,0,83,0,2.238085,0.293117,0.656021
6641,human,0,128,0,1.407471,0.690577,0.971967
6641,human,1,28,0,1.155714,1.411728,1.631554
6641,lm,0,128,0,1.528905,0.717997,1.097750
6641,lm,1,81,0,1.434118,0.840685,1.205642
4778,human,0,128,0,1.749601,0.472014,0.825835
4778,human,1,128,0,1.401632,1.015744,1.423699
4778,human,2,16,0,1.200164,1.821946,2.186634
4778,lm,0,128,0,1.613205,0.543129,0.876178
4778,lm,1,128,0,1.758353,0.569519,1.001415
4778,lm,2,128,0,2.388314,0.289058,0.690360
4778,lm,3,100,0,1.523984,0.572665,0.872732
5908,human,0,24,0,1.279339,1.313576,1.680509
5908,lm,0,112,0,2.028494,0.309846,0.628521
2546,human,0,29,0,1.428875,1.371467,1.959656
2546,lm,0,90,0,1.866338,0.419539,0.783001
5011,human,0,35,0,1.650456,0.687848,1.135263
5011,lm,0,21,0,1.240509,1.588329,1.970337
1134,human,0,128,0,1.383898,1.040009,1.439267
1134,human,1,80,0,1.341485,1.214433,1.629144
1134,lm,0,77,0,1.721589,0.675550,1.163019
4173,human,0,50,0,1.229919,1.381173,1.698731
4173,lm,0,128,0,2.084618,0.385056,0.802695
4173,lm,1,55,0,1.318743,0.876500,1.155878
5190,human,0,34,0,1.555591,0.856352,1.332134
5190,lm,0,60,0,1.738711,0.674180,1.172204
1383,human,0,22,0,1.128736,2.176012,2.456143
1383,lm,0,51,0,1.494288,1.271307,1.899699
3710,human,0,26,0,1.380531,1.070051,1.477238
3710,lm,0,49,0,1.850610,0.456597,0.844982
3411,human,0,37,0,1.544002,0.906612,1.399811
3411,lm,0,103,0,2.232193,0.390352,0.871342
2915,human,0,31,0,1.121838,2.427852,2.723657
2915,lm,0,128,0,1.823820,0.351413,0.640914
2915,lm,1,82,0,1.817725,0.422272,0.767574
5535,human,0,128,0,1.454862,0.777973,1.131844
5535,human,1,71,0,1.685944,0.624045,1.052105
5535,lm,0,102,0,1.977566,0.356076,0.704164
6799,human,0,64,0,2.089388,0.486561,1.016615
6799,lm,0,128,0,2.563752,0.327376,0.839310
6799,lm,1,62,0,1.617208,1.126306,1.821470
381,human,0,83,0,1.757326,0.506274,0.889689
381,lm,0,128,0,2.063590,0.476904,0.984134
381,lm,1,128,0,1.388097,0.678253,0.941482
381,lm,2,116,0,1.661600,0.740435,1.230306
6924,human,0,128,0,1.400902,0.787768,1.103587
6924,human,1,68,0,1.208660,1.198135,1.448138
6924,lm,0,128,0,1.700806,0.498179,0.847306
6924,lm,1,31,0,1.204194,2.516241,3.030041
1420,human,0,128,0,1.177597,1.052269,1.239148
1420,human,1,128,0,1.188055,1.451528,1.724494
1420,human,2,128,0,1.111001,1.617481,1.797024
1420,human,3,128,0,1.142261,1.574633,1.798642
1420,human,4,128,0,1.138204,1.774174,2.019371
1420,human,5,97,0,1.088703,1.781403,1.939419
1420,lm,0,128,0,1.382064,1.054872,1.457901
1420,lm,1,2,0,nan,nan,4.868089
4724,human,0,128,0,1.686636,0.642797,1.084165
4724,human,1,2,0,0.978267,5.998937,5.868561
4724,lm,0,128,0,1.759986,0.503658,0.886431
4724,lm,1,46,0,1.433426,0.963955,1.381758
5662,human,0,13,0,1.238613,1.442049,1.786140
5662,lm,0,128,0,2.012507,0.455729,0.917159
5662,lm,1,22,0,1.152515,1.756095,2.023926
4403,human,0,128,0,1.566917,0.644198,1.009405
4403,human,1,128,0,1.685150,0.341929,0.576202
4403,human,2,35,0,1.161884,1.595305,1.853559
4403,lm,0,128,0,1.537129,0.833445,1.281113
4403,lm,1,41,0,1.261967,1.357668,1.713332
4652,human,0,91,0,1.339847,1.207851,1.618335
4652,lm,0,105,0,1.551316,0.724640,1.124145
4562,human,0,83,0,1.685351,0.715093,1.205182
4562,lm,0,128,0,1.780224,0.496117,0.883199
4562,lm,1,78,0,1.894102,0.584079,1.106306
2450,human,0,52,0,1.826486,0.734661,1.341848
2450,lm,0,128,0,1.503073,0.815329,1.225499
2450,lm,1,75,0,1.571408,0.921391,1.447881
6682,human,0,128,0,1.279630,0.754466,0.965438
6682,human,1,122,0,1.230529,0.771150,0.948922
6682,lm,0,34,0,1.939114,0.659820,1.279466
3081,human,0,81,0,1.274768,1.140745,1.454186
3081,lm,0,128,0,1.676547,0.453761,0.760752
3081,lm,1,59,0,1.437116,0.850536,1.222320
6208,human,0,64,0,1.392125,1.058062,1.472954
6208,lm,0,92,0,1.810958,0.427980,0.775053
1257,human,0,25,0,1.185273,1.150806,1.364020
1257,lm,0,39,0,1.347981,0.744952,1.004181
3120,human,0,49,0,1.254976,1.174126,1.473499
3120,lm,0,128,0,1.640020,0.389018,0.637997
3120,lm,1,63,0,1.462609,0.748571,1.094866
1930,human,0,128,0,1.586666,0.722295,1.146041
1930,human,1,90,0,1.344975,1.254718,1.687564
1930,lm,0,96,0,1.845788,0.464974,0.858244
2946,human,0,36,0,1.135364,1.332185,1.512515
2946,lm,0,95,0,1.674914,0.632362,1.059152
6959,human,0,128,0,1.425631,0.834023,1.189010
6959,human,1,49,0,1.414115,1.300934,1.839671
6959,lm,0,128,0,1.826051,0.464071,0.847417
6959,lm,1,68,0,1.610738,0.898646,1.447483
4162,human,0,33,0,1.660625,0.581218,0.965184
4162,lm,0,27,0,1.760075,0.454692,0.800292
5319,human,0,122,0,1.289749,0.886225,1.143007
5319,lm,0,128,0,1.788539,0.464479,0.830739
5319,lm,1,128,0,1.743284,0.588301,1.025575
5319,lm,2,95,0,1.964319,0.536367,1.053596
5176,human,0,66,0,1.342960,1.385059,1.860080
5176,lm,0,108,0,1.710413,0.533346,0.912242
1422,human,0,128,0,1.342221,1.028649,1.380674
1422,human,1,23,0,1.000034,4.130293,4.130432
1422,lm,0,35,0,1.497835,1.180168,1.767697
2846,human,0,21,0,1.200001,1.199293,1.439154
2846,lm,0,40,0,2.106972,0.246359,0.519071
2807,human,0,128,0,1.338372,1.042143,1.394776
2807,human,1,92,0,1.370220,0.928939,1.272850
2807,lm,0,128,0,1.636767,0.600193,0.982376
2807,lm,1,128,0,1.704257,0.607879,1.035982
2807,lm,2,128,0,1.787981,0.491081,0.878044
2807,lm,3,38,0,1.471821,0.862424,1.269334
6606,human,0,128,0,1.343160,0.932621,1.252660
6606,human,1,128,0,1.286312,1.197340,1.540152
6606,human,2,95,0,1.428882,1.035296,1.479316
6606,lm,0,128,0,2.049211,0.343181,0.703250
6606,lm,1,54,0,1.572537,0.577674,0.908414
6123,human,0,128,0,1.271854,0.863768,1.098587
6123,lm,0,61,0,1.350831,0.863792,1.166837
6441,human,0,44,0,1.462354,1.079737,1.578957
6441,lm,0,128,0,1.717953,0.585372,1.005641
6441,lm,1,103,0,1.579511,0.752297,1.188262
4391,human,0,31,0,1.193400,1.862285,2.222451
4391,lm,0,80,0,1.702730,0.586097,0.997964
888,human,0,65,0,1.495202,0.699026,1.045186
888,lm,0,74,0,1.805831,0.585186,1.056746
6496,human,0,128,0,1.435464,0.872803,1.252877
6496,human,1,47,0,1.527348,0.888080,1.356407
6496,lm,0,128,0,1.832771,0.613506,1.124415
6496,lm,1,18,0,1.477536,1.774529,2.621931
3738,human,0,84,0,1.367072,1.107861,1.514526
3738,lm,0,128,0,1.766939,0.729185,1.288424
3738,lm,1,96,0,1.292667,1.079075,1.394885
4529,human,0,110,0,1.431959,0.812332,1.163226
4529,lm,0,128,0,1.776795,0.629883,1.119174
4529,lm,1,111,0,1.472619,0.907839,1.336901
5921,human,0,46,0,1.442446,0.627001,0.904415
5921,lm,0,41,0,1.589659,0.824500,1.310675
4590,human,0,83,0,1.811874,0.529666,0.959688
4590,lm,0,128,0,1.787692,0.650235,1.162420
4590,lm,1,128,0,1.761412,0.538982,0.949369
4590,lm,2,22,0,1.233366,2.141409,2.641141
1842,human,0,81,0,1.569009,0.634762,0.995947
1842,lm,0,68,0,1.895384,0.442969,0.839597
2651,human,0,50,0,1.339480,1.253188,1.678620
