line_num,human_npr,lm_npr,winner,human_logrank,lm_logrank,human_perturbed_logrank,lm_perturbed_logrank
1,1.388480,1.783635,MGC,0.921755,0.331990,1.279839,0.592148
10,1.535968,1.705799,MGC,0.608115,0.635969,0.934046,1.084836
100,1.301124,1.282154,HWC,1.035717,1.241508,1.347595,1.591805
1000,1.556304,1.776754,MGC,0.716943,0.602337,1.115781,1.070205
1001,1.513126,1.675159,MGC,0.605060,0.512747,0.915532,0.858932
1002,1.479329,1.428333,HWC,0.418844,0.441847,0.619608,0.631104
1003,1.713471,1.807142,MGC,0.500747,0.477680,0.858016,0.863236
1004,1.681507,1.689318,MGC,0.469562,0.469282,0.789571,0.792767
1006,1.686372,2.030808,MGC,0.486694,0.396369,0.820748,0.804950
1007,1.600162,1.515010,HWC,0.662183,0.901022,1.059601,1.365057
1008,1.281232,1.323318,MGC,0.666919,0.762410,0.854477,1.008911
101,1.473129,2.290002,MGC,0.589684,0.197344,0.868681,0.451919
1011,1.210028,1.246469,MGC,0.765726,0.822685,0.926550,1.025452
1012,1.197121,1.177559,HWC,1.017757,1.072629,1.218378,1.263084
1013,1.633568,2.091961,MGC,0.369486,0.280103,0.603580,0.585964
1014,1.487022,1.644427,MGC,0.583308,0.405287,0.867391,0.666465
1015,1.291975,1.482207,MGC,0.797615,0.581981,1.030499,0.862616
1016,1.569486,1.451749,HWC,0.523771,0.730613,0.822052,1.060666
1017,1.268578,1.278587,MGC,0.987020,1.057427,1.252111,1.352012
102,1.352603,1.548849,MGC,0.767072,0.608529,1.037544,0.942519
1021,1.452417,3.221574,MGC,0.525429,0.132520,0.763142,0.426922
1023,1.338214,1.447547,MGC,0.772435,0.781686,1.033684,1.131527
1026,1.429752,1.616262,MGC,1.036618,0.935965,1.482107,1.512765
1027,1.531775,1.959828,MGC,0.590814,0.515736,0.904994,1.010753
1028,1.683458,1.663966,HWC,0.546171,0.503531,0.919456,0.837858
1030,1.404074,2.600041,MGC,0.518828,0.121996,0.728472,0.317194
1033,1.658602,2.572070,MGC,0.431230,0.280233,0.715238,0.720778
1038,1.353871,2.069249,MGC,0.567470,0.278358,0.768281,0.575991
1039,1.595706,1.656908,MGC,0.427523,0.443395,0.682201,0.734664
104,1.776789,1.647653,HWC,0.431177,0.539237,0.766110,0.888476
1040,1.517175,1.332604,HWC,0.295357,0.599742,0.448108,0.799219
1041,1.368837,2.374585,MGC,0.542113,0.217860,0.742064,0.517328
1046,1.427786,1.418262,HWC,0.702268,0.731165,1.002689,1.036984
1047,1.233786,1.182104,HWC,1.112894,1.209627,1.373073,1.429905
105,1.302778,1.390304,MGC,0.983684,1.153972,1.281521,1.604372
1051,1.622942,1.700973,MGC,0.620018,0.544817,1.006254,0.926719
1052,1.593170,1.847287,MGC,0.589767,0.532819,0.939599,0.984270
1054,1.642406,1.528067,HWC,0.433428,0.582581,0.711864,0.890223
1055,1.486447,1.753777,MGC,0.753287,0.546594,1.119721,0.958604
1056,1.411845,1.396740,HWC,0.628552,0.751132,0.887418,1.049136
1057,1.532279,3.878878,MGC,0.542773,0.087626,0.831680,0.339891
1059,1.988315,2.259686,MGC,0.343135,0.309312,0.682261,0.698949
1063,1.248073,1.913270,MGC,0.778502,0.362563,0.971628,0.693681
1064,1.797544,1.784182,HWC,0.331287,0.473921,0.595503,0.845560
1066,1.446476,1.468663,MGC,0.793962,0.830242,1.148447,1.219346
1068,1.275969,1.559021,MGC,0.893154,0.984240,1.139636,1.534451
1069,1.542888,1.777891,MGC,0.578118,0.438244,0.891971,0.779151
107,1.217651,1.217427,HWC,0.854355,0.855897,1.040306,1.041991
1070,1.405262,1.686586,MGC,0.733686,0.440543,1.031021,0.743013
1071,1.462435,1.950098,MGC,0.518174,0.316256,0.757796,0.616731
1073,1.433806,1.707902,MGC,0.634197,0.524908,0.909316,0.896491
1076,1.292087,1.397094,MGC,1.034473,1.011909,1.336630,1.413732
1077,1.593390,1.593727,MGC,0.552641,0.571181,0.880572,0.910307
1079,1.382788,1.497697,MGC,0.596776,0.574466,0.825215,0.860376
1081,1.707723,1.732200,MGC,0.389699,0.441005,0.665498,0.763909
1082,1.369382,1.388947,MGC,0.859196,0.817366,1.176567,1.135278
1083,1.584387,3.590671,MGC,0.488045,0.102278,0.773252,0.367247
1084,1.369318,2.656014,MGC,0.590284,0.159457,0.808286,0.423520
1085,1.352016,1.638694,MGC,0.615470,0.507510,0.832125,0.831654
1086,1.286109,1.231013,HWC,0.638746,1.079159,0.821498,1.328459
109,1.404243,1.573506,MGC,0.761071,0.590250,1.068729,0.928762
1090,1.483081,1.392701,HWC,0.626385,0.934509,0.928979,1.301492
1092,1.954319,2.051213,MGC,0.350502,0.371765,0.684993,0.762569
1093,1.578747,1.653008,MGC,0.574444,0.688655,0.906901,1.138351
1095,1.584412,1.761716,MGC,0.513001,0.418785,0.812805,0.737780
1096,1.417542,1.799971,MGC,0.522225,0.352741,0.740276,0.634923
1097,1.366461,1.409535,MGC,0.720873,0.819477,0.985045,1.155082
11,1.357774,1.352367,HWC,0.914256,0.967143,1.241353,1.307932
110,1.533926,2.167769,MGC,0.534349,0.164883,0.819652,0.357429
1100,1.396695,1.393987,HWC,0.650926,0.740476,0.909145,1.032213
1101,1.707193,1.604054,HWC,0.587705,0.616536,1.003327,0.988957
1104,1.574756,3.065465,MGC,0.384901,0.093401,0.606126,0.286318
1105,1.381788,2.665643,MGC,0.739906,0.153585,1.022393,0.409404
1109,1.519616,1.553214,MGC,0.524446,0.683189,0.796957,1.061139
111,1.324611,1.585339,MGC,0.981164,0.444583,1.299661,0.704814
1110,1.455867,1.439864,HWC,0.624543,0.856226,0.909252,1.232848
1111,1.435387,2.102311,MGC,0.636512,0.284385,0.913641,0.597866
1112,1.445321,1.553918,MGC,0.589974,0.635850,0.852701,0.988060
1113,1.290884,1.686251,MGC,0.912159,0.537425,1.177491,0.906234
1114,1.400950,1.223644,HWC,0.547952,1.331877,0.767653,1.629744
1117,1.487733,1.846696,MGC,0.589462,0.224535,0.876963,0.414647
1120,1.402763,1.669654,MGC,0.599095,0.433090,0.840389,0.723111
1123,1.512298,1.617081,MGC,0.546709,0.552467,0.826787,0.893384
1124,1.272401,1.562486,MGC,0.995026,0.758064,1.266071,1.184464
1125,1.660954,1.838805,MGC,0.610095,0.565693,1.013340,1.040198
1126,1.220120,1.215212,HWC,0.901800,1.047493,1.100305,1.272926
1129,1.479529,1.444423,HWC,0.858383,0.931523,1.270002,1.345513
113,1.447658,1.730562,MGC,0.700785,0.495791,1.014498,0.857997
1130,1.451259,1.404210,HWC,0.698001,0.741980,1.012980,1.041896
1132,1.361623,1.740880,MGC,0.820778,0.667148,1.117590,1.161425
1133,1.386977,1.350808,HWC,0.881383,1.162584,1.222459,1.570428
1138,1.357107,2.019705,MGC,0.708824,0.116030,0.961950,0.234346
1139,1.314183,1.624427,MGC,0.865971,0.501719,1.138045,0.815006
1141,1.375210,1.692621,MGC,0.592483,0.405242,0.814788,0.685922
1142,1.357895,1.518336,MGC,0.643871,0.682210,0.874309,1.035825
1143,1.648941,1.909221,MGC,0.410853,0.374429,0.677472,0.714868
1144,1.336031,1.802011,MGC,0.940350,0.563044,1.256337,1.014612
1145,1.482226,2.717813,MGC,0.628888,0.209033,0.932155,0.568112
1146,1.564190,1.713642,MGC,0.551471,0.448015,0.862605,0.767738
1147,1.324790,1.488005,MGC,0.928266,0.732746,1.229757,1.090329
