index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
308,1500,1.457231,1.396917,HWC,0.668518,0.733700,0.974185,1.024918
309,1501,1.256665,1.609801,MGC,1.339052,0.517650,1.682740,0.833314
310,1513,1.787983,2.417406,MGC,0.476340,0.263339,0.851687,0.636598
311,1516,1.262331,1.685474,MGC,1.044221,0.350686,1.318152,0.591072
312,1523,1.225623,1.075796,HWC,1.420869,1.429919,1.741449,1.538301
313,1531,1.732529,1.691740,HWC,0.409214,0.503508,0.708975,0.851805
314,1538,1.439123,3.507151,MGC,0.830589,0.105844,1.195320,0.371212
315,1539,1.302423,1.527973,MGC,0.562262,0.478398,0.732303,0.730980
316,1540,1.279221,2.289773,MGC,0.821728,0.142401,1.051171,0.326066
317,1547,1.178428,2.045021,MGC,0.993143,0.298237,1.170347,0.609900
318,1555,1.252449,2.032666,MGC,1.201997,0.356532,1.505440,0.724711
319,1559,1.624203,1.343981,HWC,0.351405,0.566542,0.570753,0.761422
320,1562,1.431394,2.033406,MGC,0.730309,0.186954,1.045360,0.380154
321,1571,1.294064,2.794166,MGC,1.185299,0.149643,1.533853,0.418128
322,1577,1.304946,1.907245,MGC,0.854708,0.295499,1.115348,0.563589
323,1580,1.278698,2.156304,MGC,0.955061,0.215082,1.221235,0.463782
324,1590,1.750843,1.522372,HWC,0.496701,0.738045,0.869646,1.123580
325,1592,1.402955,1.985400,MGC,0.637773,0.270583,0.894766,0.537216
326,1598,1.362886,1.723653,MGC,0.715872,0.491958,0.975652,0.847965
327,1610,1.259938,2.140356,MGC,0.974211,0.234616,1.227445,0.502161
328,1614,1.249524,1.585791,MGC,1.004634,0.317596,1.255315,0.503641
329,1616,1.640217,2.504200,MGC,0.637394,0.143440,1.045464,0.359202
330,1618,1.224602,1.981504,MGC,1.079906,0.241681,1.322456,0.478891
331,1620,1.452315,2.140904,MGC,0.669745,0.223618,0.972681,0.478744
332,1622,1.257585,1.651889,MGC,0.905521,0.345142,1.138769,0.570136
333,1623,1.590275,1.686341,MGC,0.508231,0.392394,0.808228,0.661709
334,1627,1.250676,2.390746,MGC,0.905807,0.134513,1.132872,0.321586
335,1628,1.269354,2.119713,MGC,0.728073,0.181711,0.924183,0.385176
336,1636,1.272383,1.483154,MGC,0.667122,0.511714,0.848834,0.758951
337,1637,1.440830,2.053235,MGC,0.556358,0.239916,0.801617,0.492604
338,1643,1.328857,1.614031,MGC,0.764432,0.575494,1.015821,0.928865
339,1654,1.672449,2.339918,MGC,0.227479,0.238439,0.380447,0.557928
340,1656,1.298580,1.643791,MGC,0.686095,0.335583,0.890949,0.551628
341,1660,1.294497,1.813369,MGC,0.787762,0.390503,1.019755,0.708125
342,1665,1.405046,1.846486,MGC,0.575040,0.618560,0.807957,1.142163
343,1668,1.217410,1.540051,MGC,1.434997,0.647717,1.746980,0.997517
344,1674,1.443347,1.664518,MGC,0.711786,0.530667,1.027354,0.883304
345,1676,1.286440,2.560959,MGC,1.040678,0.257538,1.338770,0.659545
346,1680,1.521218,2.556857,MGC,0.795267,0.217900,1.209774,0.557139
347,1690,1.652187,2.430037,MGC,0.300313,0.177479,0.496174,0.431281
348,1691,1.386837,1.651487,MGC,0.751924,0.456879,1.042796,0.754530
349,1694,1.598581,2.069123,MGC,0.439593,0.232011,0.702726,0.480059
350,1708,1.442256,2.473974,MGC,0.835897,0.174302,1.205577,0.431219
351,1709,1.237704,1.367409,MGC,0.901926,0.526387,1.116317,0.719787
352,1715,1.197295,1.449752,MGC,1.193755,0.495962,1.429276,0.719021
353,1722,1.286469,2.102784,MGC,0.945318,0.340450,1.216122,0.715892
354,1723,1.448284,1.745663,MGC,0.901850,0.389505,1.306135,0.679945
355,1724,1.305278,2.829215,MGC,0.964040,0.162182,1.258340,0.458846
356,1727,1.271429,3.308824,MGC,0.983613,0.119575,1.250594,0.395652
357,1728,1.923952,1.669319,HWC,0.403506,0.408043,0.776326,0.681154
358,1730,1.479845,1.901184,MGC,0.341904,0.234436,0.505964,0.445706
359,1733,1.352856,2.000803,MGC,0.631683,0.274059,0.854575,0.548338
360,1742,1.449259,2.600902,MGC,0.672921,0.253884,0.975237,0.660327
361,1744,1.151575,1.420727,MGC,1.177673,0.531251,1.356178,0.754762
362,1746,2.791497,2.279927,HWC,0.133648,0.204276,0.373077,0.465735
363,1751,1.657049,2.917329,MGC,0.536465,0.227980,0.888949,0.665092
364,1752,1.267925,1.717796,MGC,0.931747,0.251741,1.181385,0.432440
365,1758,1.449013,2.426030,MGC,0.720397,0.152780,1.043864,0.370649
366,1759,1.261920,2.650049,MGC,0.876589,0.169351,1.106185,0.448788
367,1763,1.403286,2.067667,MGC,0.763433,0.266586,1.071314,0.551211
368,1765,1.428880,1.904533,MGC,0.452914,0.173811,0.647160,0.331029
369,1768,1.380983,2.166271,MGC,0.689517,0.346965,0.952211,0.751620
370,1770,1.219700,1.981141,MGC,1.105908,0.303668,1.348876,0.601609
371,1777,1.262382,1.580143,MGC,1.157350,0.374289,1.461018,0.591431
372,1778,1.282933,1.971900,MGC,1.215816,0.274442,1.559811,0.541173
373,1779,2.341744,2.921456,MGC,0.195213,0.174517,0.457139,0.509844
374,1781,1.318482,2.002487,MGC,1.048535,0.286553,1.382474,0.573819
375,1784,1.369379,2.438836,MGC,0.811374,0.188524,1.111079,0.459779
376,1789,1.702896,3.170192,MGC,0.389327,0.107695,0.662984,0.341415
377,1792,1.534745,1.614835,MGC,0.920964,0.549026,1.413445,0.886586
378,1800,1.359464,1.549704,MGC,1.029288,0.719436,1.399279,1.114912
379,1801,1.699878,1.795399,MGC,0.306164,0.316662,0.520441,0.568535
380,1802,1.425236,2.174351,MGC,0.645654,0.242200,0.920209,0.526627
381,1805,1.443873,2.673148,MGC,0.890045,0.130554,1.285112,0.348989
382,1807,1.635770,1.900423,MGC,0.646926,0.348360,1.058223,0.662032
383,1808,1.293035,1.920795,MGC,0.826788,0.267962,1.069066,0.514700
384,1809,1.459948,1.926398,MGC,0.858816,0.453559,1.253827,0.873734
385,1811,1.238275,2.836995,MGC,1.169055,0.155482,1.447612,0.441103
386,1814,1.287663,3.125197,MGC,0.879635,0.205642,1.132674,0.642671
387,1819,1.475817,1.751011,MGC,0.396950,0.436547,0.585826,0.764398
388,1823,1.133561,2.100278,MGC,1.521638,0.274384,1.724870,0.576283
389,1827,1.347772,2.074050,MGC,0.770858,0.302389,1.038940,0.627170
390,1831,1.417653,2.407290,MGC,0.677191,0.273879,0.960022,0.659307
391,1832,1.231225,1.832987,MGC,0.502318,0.262475,0.618466,0.481113
392,1835,1.202289,3.364302,MGC,1.063627,0.085060,1.278788,0.286169
393,1837,1.283558,1.504585,MGC,1.137888,0.596242,1.460545,0.897097
394,1838,1.506258,2.116647,MGC,0.566917,0.236758,0.853924,0.501132
395,1840,1.207252,1.855680,MGC,1.332973,0.315352,1.609233,0.585192
396,1846,1.389758,2.114404,MGC,0.650187,0.258570,0.903602,0.546722
397,1854,2.162758,2.665732,MGC,0.209315,0.132722,0.452698,0.353801
398,1863,1.468523,2.083306,MGC,0.822346,0.326294,1.207634,0.679771
399,1883,1.300084,1.647854,MGC,0.914954,0.495561,1.189517,0.816612
400,1891,1.231482,1.927337,MGC,0.787878,0.285063,0.970258,0.549412
401,1899,1.304602,1.326473,MGC,1.212288,0.848612,1.581553,1.125661
402,1900,1.249179,1.973691,MGC,1.148904,0.361636,1.435187,0.713759
403,1901,1.242046,2.207677,MGC,0.919574,0.305164,1.142152,0.673703
404,1903,1.376065,1.511212,MGC,1.041004,0.319284,1.432489,0.482506
405,1905,1.580177,1.895463,MGC,0.613961,0.356395,0.970167,0.675533
406,1906,1.532165,1.566723,MGC,0.451027,0.438928,0.691047,0.687679
