line_num,human_npr,lm_npr,winner,human_logrank,lm_logrank,human_perturbed_logrank,lm_perturbed_logrank
1149,1.292178,2.783532,MGC,0.542507,0.094566,0.701015,0.263228
115,1.374687,1.332140,HWC,0.507852,0.772372,0.698137,1.028907
1150,1.477828,1.573556,MGC,0.509795,0.472226,0.753390,0.743074
1154,1.357119,1.576466,MGC,0.492683,0.440163,0.668629,0.693902
1157,1.586431,1.621717,MGC,0.431562,0.415014,0.684644,0.673035
1158,1.771526,1.878795,MGC,0.323463,0.281048,0.573023,0.528031
1159,1.152926,1.316944,MGC,0.564637,0.754554,0.650985,0.993706
116,1.461141,1.572468,MGC,0.441788,0.405034,0.645515,0.636902
1161,1.250500,1.402982,MGC,0.798394,0.753981,0.998392,1.057822
1166,1.187136,1.341441,MGC,0.805270,0.678928,0.955965,0.910742
117,1.499296,1.573989,MGC,0.346759,0.384488,0.519894,0.605180
1170,1.391458,1.385608,HWC,0.463427,0.685401,0.644839,0.949697
1171,1.412706,1.443316,MGC,0.476628,0.544052,0.673336,0.785239
1174,1.480262,1.565322,MGC,0.317004,0.397125,0.469249,0.621628
1179,1.579134,2.064647,MGC,0.401446,0.298570,0.633936,0.616442
1180,1.458965,1.561576,MGC,0.593580,0.586296,0.866013,0.915546
1181,1.291583,1.873567,MGC,0.597970,0.254021,0.772329,0.475925
1183,1.329062,1.455328,MGC,0.539097,0.599909,0.716492,0.873064
1184,1.267620,1.355597,MGC,0.730457,0.615012,0.925942,0.833709
1190,1.182560,1.353598,MGC,0.732127,0.606473,0.865785,0.820921
1191,1.223937,1.422720,MGC,0.605914,0.543589,0.741601,0.773375
1194,1.267258,1.375397,MGC,0.752370,0.669500,0.953447,0.920828
1199,1.446955,1.247337,HWC,0.458941,0.777763,0.664067,0.970132
1200,1.248020,2.781378,MGC,0.664801,0.099401,0.829685,0.276473
1206,1.203834,2.161703,MGC,0.670298,0.119636,0.806927,0.258617
1207,1.450367,1.485884,MGC,0.424405,0.410424,0.615544,0.609842
1208,1.429644,1.912026,MGC,0.525149,0.247596,0.750776,0.473410
1209,1.383784,1.474246,MGC,0.484129,0.364646,0.669929,0.537577
1211,1.415039,1.487969,MGC,0.449984,0.477575,0.636745,0.710618
1214,1.446234,1.590292,MGC,0.441820,0.394706,0.638975,0.627698
1215,1.594094,1.671848,MGC,0.394486,0.442721,0.628848,0.740162
1219,1.416711,3.814275,MGC,0.507777,0.077036,0.719373,0.293837
122,1.279569,1.592856,MGC,0.724878,0.460164,0.927532,0.732975
1223,1.338291,1.402361,MGC,0.876381,0.975368,1.172852,1.367818
1225,1.764651,1.414676,HWC,0.283910,0.664659,0.501001,0.940277
1226,1.214667,1.381999,MGC,0.556091,0.536022,0.675465,0.740783
1227,1.258951,1.318232,MGC,0.710158,0.753528,0.894054,0.993325
1228,1.378599,1.576342,MGC,0.508013,0.390470,0.700346,0.615514
1229,1.368806,1.562718,MGC,0.537083,0.420449,0.735162,0.657043
1234,1.620256,1.540410,HWC,0.440171,0.627695,0.713189,0.966908
1236,1.341332,1.542808,MGC,0.467927,0.366059,0.627645,0.564758
1237,1.251335,1.354454,MGC,0.771079,0.609042,0.964878,0.824919
1238,1.489468,1.265190,HWC,0.436484,0.941515,0.650128,1.191195
1239,1.244174,1.659000,MGC,0.813742,0.428785,1.012436,0.711354
1240,1.504004,2.407268,MGC,0.431551,0.084919,0.649055,0.204423
1241,1.311815,1.446387,MGC,0.598059,0.457902,0.784543,0.662304
1242,1.232858,1.464260,MGC,0.956310,0.567393,1.178995,0.830811
1243,1.781139,1.993673,MGC,0.317218,0.281824,0.565010,0.561864
1245,1.930354,1.602337,HWC,0.231933,0.362058,0.447712,0.580138
1246,1.560685,1.654669,MGC,0.378589,0.581176,0.590859,0.961653
1247,1.291921,2.007703,MGC,0.664607,0.265319,0.858619,0.532681
125,1.423120,2.933848,MGC,0.278848,0.117812,0.396834,0.345642
1252,1.263067,1.298108,MGC,0.638833,0.752032,0.806889,0.976218
1254,1.251838,1.407662,MGC,0.844913,0.575419,1.057694,0.809996
1255,1.308504,1.441042,MGC,0.704174,0.547937,0.921414,0.789600
1256,1.411198,1.381145,HWC,0.372390,0.652345,0.525516,0.900983
1257,1.371777,1.665449,MGC,0.462712,0.335359,0.634737,0.558523
1258,1.210555,1.430186,MGC,0.676278,0.516074,0.818671,0.738082
126,1.366734,1.426448,MGC,0.560878,0.635851,0.766571,0.907009
1263,1.457080,1.529217,MGC,0.505073,0.456597,0.735932,0.698236
1266,1.198745,2.084636,MGC,0.649003,0.132485,0.777990,0.276183
1267,1.719083,1.821945,MGC,0.358932,0.348862,0.617033,0.635608
1268,1.243666,1.349779,MGC,0.839761,0.620525,1.044383,0.837572
1269,1.412736,1.417830,MGC,0.568780,0.608622,0.803537,0.862923
127,1.436768,2.045113,MGC,0.550405,0.264300,0.790805,0.540523
1272,1.436704,1.776488,MGC,0.473015,0.283388,0.679583,0.503436
1277,1.226254,1.208629,HWC,0.657829,0.782402,0.806666,0.945634
128,1.341482,1.378607,MGC,0.655443,0.629576,0.879266,0.867938
1283,1.556474,1.731714,MGC,0.294092,0.316852,0.457746,0.548697
1284,1.359636,1.468302,MGC,0.622786,0.546155,0.846763,0.801920
1285,1.372111,1.596889,MGC,0.640080,0.453382,0.878261,0.724001
1286,1.263812,1.469205,MGC,0.684742,0.490840,0.865385,0.721145
129,1.233254,1.732289,MGC,0.601263,0.374029,0.741510,0.647927
1292,1.369400,4.482036,MGC,0.397487,0.062444,0.544318,0.279876
1294,1.433499,1.620325,MGC,0.480646,0.348608,0.689006,0.564858
1295,1.328247,1.477146,MGC,0.524681,0.444349,0.696906,0.656368
1297,1.326417,1.659451,MGC,0.520633,0.355017,0.690577,0.589133
1298,1.228039,1.374226,MGC,0.824979,0.504111,1.013107,0.692763
1299,1.233802,2.764138,MGC,0.489080,0.143534,0.603427,0.396747
130,1.710655,1.747039,MGC,0.387859,0.428643,0.663493,0.748856
1300,1.464785,1.951724,MGC,0.417423,0.323322,0.611436,0.631034
1302,1.273017,1.264743,HWC,0.761309,0.894988,0.969159,1.131929
1305,1.744446,1.662161,HWC,0.333782,0.460451,0.582264,0.765343
1306,1.298292,1.272917,HWC,0.463640,0.886931,0.601941,1.128989
1307,1.684698,1.666482,HWC,0.422007,0.457249,0.710954,0.761998
1308,1.452929,1.764633,MGC,0.406451,0.348680,0.590544,0.615293
1309,1.228602,1.302923,MGC,0.734499,0.888188,0.902407,1.157241
1311,1.311252,1.359481,MGC,0.523580,0.661626,0.686545,0.899467
1312,1.282806,1.403949,MGC,0.641523,0.559358,0.822949,0.785311
1313,1.333448,1.502120,MGC,0.497341,0.575180,0.663178,0.863989
1314,1.270462,1.490761,MGC,0.846459,0.555885,1.075394,0.828692
1315,1.421670,1.530048,MGC,0.472405,0.423042,0.671604,0.647275
1316,1.540219,1.631435,MGC,0.418698,0.378855,0.644887,0.618076
1317,1.270590,1.363343,MGC,0.823779,0.769983,1.046686,1.049750
1319,1.278302,1.392490,MGC,0.630272,0.544562,0.805678,0.758297
132,1.377339,1.364728,HWC,0.441030,0.502311,0.607448,0.685518
1320,1.363223,1.700095,MGC,0.539340,0.327776,0.735241,0.557250
1321,1.318914,2.343047,MGC,0.404501,0.110505,0.533502,0.258918
1322,1.448890,1.414358,HWC,0.433015,0.518807,0.627391,0.733779
1323,1.307210,1.327886,MGC,0.727236,0.772899,0.950650,1.026322
1324,1.509173,1.958460,MGC,0.436222,0.230909,0.658335,0.452227
1327,1.215305,1.205928,HWC,0.894391,1.284036,1.086957,1.548455
1328,1.340064,1.315689,HWC,0.420070,0.725892,0.562921,0.955048
1329,1.423857,1.401208,HWC,0.547727,0.586503,0.779885,0.821813
133,1.451717,1.480340,MGC,0.454487,0.445247,0.659786,0.659116
1336,1.467749,1.492915,MGC,0.518838,0.507693,0.761524,0.757942
1337,1.455102,1.430104,HWC,0.357976,0.479466,0.520892,0.685687
1338,1.350932,1.415557,MGC,0.644598,0.698706,0.870808,0.989058
1339,1.490506,1.490693,MGC,0.519798,0.493908,0.774762,0.736265
1340,1.254444,1.227552,HWC,0.707485,1.023088,0.887501,1.255894
1341,1.426560,1.385701,HWC,0.486160,0.553868,0.693536,0.767496
1345,1.448290,1.367042,HWC,0.548892,0.828147,0.794955,1.132112
1349,1.272802,1.641053,MGC,0.662643,0.374976,0.843413,0.615355
135,1.149077,1.357580,MGC,1.171324,0.830073,1.345942,1.126891
1350,1.275204,1.458406,MGC,0.659679,0.482482,0.841225,0.703655
1351,1.424550,1.361208,HWC,0.527502,0.727018,0.751454,0.989623
1353,1.355730,1.329835,HWC,0.491173,0.538556,0.665898,0.716191
1354,1.368833,1.403055,MGC,0.520069,0.565250,0.711887,0.793077
1357,1.327606,1.895494,MGC,0.685945,0.342389,0.910664,0.648995
1358,1.260682,1.452391,MGC,0.737155,0.618649,0.929318,0.898520
136,1.363242,1.335868,HWC,0.541270,0.654105,0.737882,0.873799
1360,1.448166,1.667642,MGC,0.517433,0.357186,0.749328,0.595659
1363,1.394262,2.574070,MGC,0.589805,0.144688,0.822342,0.372436
1364,1.465221,2.189634,MGC,0.362229,0.207392,0.530746,0.454113
1365,1.266274,1.268990,MGC,0.494269,0.924843,0.625880,1.173617
1366,1.171260,1.298179,MGC,0.979276,0.715801,1.146987,0.929237
1370,1.430054,1.536993,MGC,0.360393,0.447904,0.515381,0.688425
1371,1.520023,2.093891,MGC,0.519299,0.218894,0.789346,0.458340
1373,1.477615,1.533638,MGC,0.416116,0.511915,0.614859,0.785092
1375,1.332504,1.343997,MGC,0.384229,0.523097,0.511987,0.703041
1377,1.620750,1.985404,MGC,0.333760,0.200180,0.540941,0.397439
1378,1.440286,1.836648,MGC,0.409009,0.270619,0.589090,0.497031
138,1.295507,1.314611,MGC,0.772576,0.992135,1.000878,1.304272
1380,1.322307,1.276657,HWC,0.439294,0.540509,0.580882,0.690044
1381,1.481718,1.819087,MGC,0.291512,0.250169,0.431938,0.455078
1382,1.212787,1.181123,HWC,0.657012,1.013399,0.796816,1.196949
1383,3.411594,3.780516,MGC,0.113997,0.099393,0.388910,0.375755
1385,1.808105,2.625262,MGC,0.313325,0.086145,0.566524,0.226154
1387,1.369735,1.245226,HWC,0.494341,0.775231,0.677116,0.965337
1388,1.319755,1.833758,MGC,0.556008,0.204007,0.733794,0.374099
1389,1.296748,1.250237,HWC,0.565477,0.799960,0.733280,1.000139
139,1.271329,1.596038,MGC,0.672488,0.401449,0.854953,0.640728
1390,1.773940,5.863594,MGC,0.354631,0.032134,0.629093,0.188419
1392,1.475861,1.634415,MGC,0.403681,0.340004,0.595778,0.555708
1394,1.417453,1.460005,MGC,0.434839,0.739223,0.616365,1.079270
1398,1.243461,1.279217,MGC,0.595772,0.719804,0.740819,0.920786
1399,1.407272,1.410564,MGC,0.422041,0.531203,0.593926,0.749296
140,1.335269,1.415269,MGC,0.650685,0.628912,0.868839,0.890080
1401,1.630129,1.548799,HWC,0.318898,0.552742,0.519845,0.856087
1405,1.462574,1.576343,MGC,0.347980,0.410245,0.508947,0.646687
1407,1.302048,1.231002,HWC,0.641399,0.929502,0.835132,1.144219
1408,1.101950,2.184060,MGC,1.216365,0.094803,1.340374,0.207056
1410,1.842075,2.586008,MGC,0.322250,0.197681,0.593609,0.511204
1411,1.373117,1.340788,HWC,0.436054,0.724857,0.598754,0.971879
1413,1.360050,1.619031,MGC,0.595170,0.411830,0.809460,0.666766
1417,1.375771,1.530045,MGC,0.440318,0.380688,0.605776,0.582470
142,1.482777,1.656736,MGC,0.390168,0.384725,0.578532,0.637387
1422,1.266864,1.363615,MGC,0.639310,0.842788,0.809919,1.149238
1426,1.231805,2.397543,MGC,0.835860,0.140864,1.029616,0.337728
