line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
10,1.676801,1.979308,MGC,1,1,0,0
100,1.390325,1.103334,HWC,1,1,0,0
1000,1.145609,1.270862,MGC,6,1,0,0
1001,1.126981,1.305500,MGC,1,1,0,0
1002,1.271359,1.738636,MGC,1,1,0,0
