line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1,human,0,44,0,1.476516,1.440740,2.127275
1,lm,0,124,0,1.849212,0.282823,0.523001
10,human,0,28,0,1.258799,0.848674,1.068310
10,lm,0,10,0,1.138777,2.050018,2.334514
100,human,0,37,0,1.234589,1.157509,1.429048
100,lm,0,7,0,1.069986,2.705886,2.895261
1000,human,0,49,0,1.386555,1.043026,1.446213
1000,lm,0,12,0,1.262019,1.143679,1.443344
1001,human,0,61,0,1.293656,0.984571,1.273696
1001,lm,0,107,0,1.625601,0.665855,1.082415
1002,human,0,90,0,1.494982,0.366673,0.548170
1002,lm,0,25,0,1.159604,0.553301,0.641610
1003,human,0,13,0,1.121475,0.979633,1.098634
1003,lm,0,14,0,1.127699,1.364480,1.538723
1004,human,0,67,0,1.934719,0.461379,0.892639
1004,lm,0,32,0,1.614938,0.568942,0.918807
1006,human,0,64,0,1.531479,0.541831,0.829803
1006,lm,0,50,0,1.677675,0.560377,0.940130
1007,human,0,66,0,1.577671,0.660976,1.042803
1007,lm,0,7,0,1.090478,2.330197,2.541029
1008,human,0,13,0,1.215447,0.676213,0.821901
1008,lm,0,4,0,1.229455,0.999388,1.228702
101,human,0,88,0,1.334702,0.935728,1.248918
101,lm,0,128,0,1.912745,0.335256,0.641259
101,lm,1,123,0,1.567635,0.463093,0.725960
1011,human,0,33,0,1.255540,0.635819,0.798296
1011,lm,0,18,0,1.313464,0.685988,0.901020
1012,human,0,31,0,1.233585,0.938544,1.157774
1012,lm,0,11,0,1.315160,0.511556,0.672778
1013,human,0,128,0,1.518770,0.413468,0.627963
1013,human,1,128,0,1.316784,0.809103,1.065413
1013,human,2,26,0,1.376267,0.929027,1.278589
1013,lm,0,128,0,2.251932,0.259157,0.583604
1013,lm,1,23,0,1.273371,0.819404,1.043406
1014,human,0,46,0,1.378255,0.771467,1.063278
1014,lm,0,35,0,1.544358,0.501417,0.774367
1015,human,0,128,0,1.270725,1.174049,1.491893
1015,human,1,128,0,1.236218,1.780236,2.200760
1015,human,2,128,0,1.150163,1.217604,1.400443
1015,human,3,70,0,1.118012,2.159628,2.414491
1015,lm,0,128,0,1.626341,0.614840,0.999939
1015,lm,1,10,0,1.040713,2.908006,3.026400
1016,human,0,87,0,1.554800,0.567833,0.882867
1016,lm,0,10,0,1.235160,1.053932,1.301775
1017,human,0,20,0,1.101838,1.544995,1.702335
1017,lm,0,16,0,1.158909,1.883915,2.183287
102,human,0,128,0,1.356176,0.886056,1.201648
102,human,1,95,0,1.276651,1.087905,1.388874
102,lm,0,81,0,1.650638,0.605058,0.998733
1023,human,0,128,0,1.376583,0.850460,1.170730
1023,human,1,128,0,1.196729,1.303972,1.560501
1023,human,2,50,0,1.410685,1.074528,1.515820
1023,lm,0,97,0,1.944679,0.457416,0.889528
1026,human,0,38,0,1.303933,1.186052,1.546532
1026,lm,0,19,0,1.152323,1.473042,1.697420
1027,human,0,111,0,1.493587,0.559413,0.835532
1027,lm,0,19,0,1.350428,0.549223,0.741686
1028,human,0,58,0,1.705658,0.730839,1.246561
1028,lm,0,15,0,1.189042,1.007051,1.197426
1030,human,0,128,0,1.428388,0.567721,0.810927
1030,human,1,128,0,1.235993,0.810633,1.001936
1030,human,2,128,0,1.345389,0.720840,0.969810
1030,human,3,44,0,1.254317,1.675286,2.101340
1030,lm,0,128,0,3.362979,0.088722,0.298370
1030,lm,1,128,0,2.603975,0.116472,0.303290
1030,lm,2,6,0,1.107562,4.563724,5.054606
1033,human,0,43,0,1.411252,0.539997,0.762072
1033,lm,0,21,0,1.419413,0.728408,1.033912
1038,human,0,128,0,1.321253,0.748746,0.989283
1038,human,1,128,0,1.255154,0.795098,0.997970
1038,human,2,34,0,1.169238,1.245905,1.456760
1038,lm,0,128,0,1.879347,0.315190,0.592352
1038,lm,1,4,0,0.969739,2.799828,2.715101
1039,human,0,35,0,1.336593,0.669915,0.895404
1039,lm,0,31,0,1.447874,0.807862,1.169683
104,human,0,84,0,1.596525,0.486028,0.775956
104,lm,0,43,0,1.233546,1.185512,1.462383
1040,human,0,128,0,1.555820,0.258054,0.401485
1040,human,1,1,0,1.000000,4.004251,4.004251
1040,lm,0,20,0,1.401856,0.536605,0.752243
1041,human,0,128,0,1.384589,0.532335,0.737066
1041,human,1,68,0,1.190296,1.033763,1.230484
1041,lm,0,128,0,2.857493,0.140159,0.400504
1041,lm,1,19,0,1.255040,0.971551,1.219335
1046,human,0,67,0,1.313049,1.001589,1.315136
1046,lm,0,11,0,1.061969,1.915316,2.034007
1047,human,0,77,0,1.219580,1.247667,1.521629
1047,lm,0,27,0,1.173041,1.658704,1.945727
105,human,0,53,0,1.240488,1.010370,1.253353
105,lm,0,11,0,1.058011,2.339339,2.475045
1051,human,0,87,0,1.473176,0.808394,1.190906
1051,lm,0,29,0,1.310569,1.016176,1.331770
1052,human,0,65,0,1.294160,0.955342,1.236366
1052,lm,0,44,0,1.497739,1.060109,1.587767
1054,human,0,128,0,1.420653,0.814351,1.156910
1054,human,1,128,0,1.425040,0.620281,0.883925
1054,human,2,47,0,1.339605,0.958363,1.283827
1054,lm,0,26,0,1.286956,0.914159,1.176483
1055,human,0,55,0,1.321628,1.201371,1.587766
1055,lm,0,79,0,1.549647,0.744231,1.153295
1056,human,0,103,0,1.381971,0.688870,0.951998
1056,lm,0,31,0,1.439327,0.816166,1.174729
1059,human,0,42,0,1.331863,0.874771,1.165076
1059,lm,0,11,0,1.187739,1.543853,1.833693
1063,human,0,126,0,1.227095,0.776648,0.953021
1063,lm,0,118,0,1.865930,0.388740,0.725362
